country,date,time,status,operator,error_code
India,2026-07-27,09:15:12,Delivered,Airtel,000
India,2026-07-27,09:16:10,Delivered,Jio,000
India,2026-07-27,09:18:44,Failed,Vodafone Idea,005
India,2026-07-27,10:02:21,Delivered,Airtel,000
India,2026-07-27,10:10:33,Failed,Jio,004
UAE,2026-07-27,11:20:15,Delivered,Etisalat,000
UAE,2026-07-27,11:22:08,Failed,du,005
Singapore,2026-07-27,12:15:42,Delivered,Singtel,000
Singapore,2026-07-27,12:16:20,Failed,StarHub,005
India,2026-07-27,13:05:55,Delivered,Airtel,000
India,2026-07-27,13:15:10,Delivered,Jio,000
India,2026-07-27,13:18:32,Failed,Vodafone Idea,006
Malaysia,2026-07-27,14:00:12,Delivered,Maxis,000
Malaysia,2026-07-27,14:05:55,Failed,Celcom,005
India,2026-07-27,15:11:22,Delivered,Airtel,000
India,2026-07-27,15:18:42,Failed,Jio,005
India,2026-07-27,15:11:22,Delivered,Airtel,000
India,2026-07-27,15:18:42,Delivered,Jio,005
India,2026-07-27,15:11:22,Delivered,Airtel,000
India,2026-07-27,15:18:42,Delivered,Jio,005
India,2026-07-27,15:11:22,Failed,Airtel,007
India,2026-07-27,15:18:42,Failed,Jio,008
India,2026-07-27,15:11:22,Failed,Airtel,009
India,2026-07-27,13:18:33,Failed,Vodafone Idea,006
India,2026-07-27,13:18:34,Failed,Vodafone Idea,006
India,2026-07-27,13:18:35,Failed,Vodafone Idea,006
India,2026-07-27,13:18:36,Failed,Vodafone Idea,006
India,2026-07-27,13:18:37,Failed,Vodafone Idea,006
India,2026-07-27,13:18:38,Failed,Vodafone Idea,006
India,2026-07-27,13:18:39,Failed,Vodafone Idea,006
India,2026-07-27,09:18:44,Failed,Vodafone Idea,003
India,2026-07-27,09:18:44,Failed,Vodafone Idea,003
India,2026-07-27,09:18:44,Failed,Vodafone Idea,003
India,2026-07-27,09:18:44,Failed,Vodafone Idea,003
India,2026-07-27,09:18:44,Failed,Vodafone Idea,003
